geo,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,66.5,66.3,66.2,66.1,66,65.9,65.7,65.6,65.5,65.4,65.3,65.1,64.9,64.8,64.7,64.6,64.5,64.4,64.3,64.3,64.3,64.3,64.4,64.5,64.6,64.7,64.9,64.8
Albania,89.4,89.3,89.2,89,88.9,88.9,88.8,89,89.2,88.9,89.4,74.1,73.7,74.4,75.1,75.6,76.2,75.6,76.3,76.9,77.2,77.5,77.6,77.8,78,78.1,78.2,78.5
Algeria,57.2,57.4,57.6,57.6,57.7,57.8,58.3,58.8,59.3,59.9,60.5,61.1,61.7,62.3,62.9,63.5,64.1,64.7,65.2,65.8,66.4,66.9,67.4,67.8,68.2,68.6,68.9,69.6
Angola,86.9,86.9,87,87,87.1,87.1,87.1,87.2,87.6,87.5,87.5,87.4,87.9,86.9,87.7,86.5,86.6,86.6,86.9,87.1,87,87,87.3,87.2,87.4,87.7,88.2,88.5
Argentina,64.6,64,63.6,63.2,64.2,65.1,65.3,65.4,65.7,65.8,66,72.6,72.9,73.2,73.4,73.7,74.4,75.1,75.7,76.4,77.1,77.7,78.4,79,79.7,80.3,80.9,81
Armenia,92.3,92.3,92.3,92.4,92.4,92.4,92.5,92.6,92.4,92.6,92.8,84,82.1,81,81.1,82,82.5,82.6,83.3,83.5,83.8,84.2,84.7,85.1,85.3,85.5,85.6,86.2
Australia,74.2,74.3,74.4,74.3,74.9,75.6,77.2,77.6,78.4,79.3,80.2,80.2,80,79.9,79.8,80.6,80.3,80.2,80.1,80,80.5,80.7,80.9,81.2,80.9,82,82.3,82.1
Austria,76.1,76.5,76.6,76.3,76.8,77.1,77.5,77.8,78,78.4,79.3,79.8,80.9,81.8,82.3,83.3,83.1,83.8,84.1,84.6,85,85.2,86.4,87.1,86.4,86.5,87.2,87.6
Azerbaijan,92.1,91.9,91.9,91.8,91.7,91.6,91.7,91.8,91.6,91.9,92.1,84.9,84.3,83.8,82.5,81.5,81.8,82.2,83,83.6,84.5,85,85.4,85.7,86,86.5,86.7,87.4
Bahamas,81.7,82.1,82.5,82.9,83.3,83.7,84.1,84.4,84.8,85.1,85.4,85.3,85,85.2,85,85,85.5,85.8,86.2,86.5,86.9,86.8,86.8,87.1,87.2,87.5,87.8,87.8
Bahrain,72.1,72.8,73.1,73.3,73.5,73.8,74.2,74.6,75.1,75.6,76.1,76.7,77,77.2,77.4,77.6,77.7,77.8,77.8,77.8,77.8,77.9,77.5,77.2,76.9,76.6,76.3,76.3
Bangladesh,78.8,79.1,79.5,79.8,80.1,80.4,80.7,81.1,81.4,81.7,82,82.2,81.8,81.4,81,80.5,80,80.2,80.3,80.4,80.5,80.9,81.2,81.4,81.6,81.8,82,82.3
Barbados,81.4,82.6,83.7,84.7,85.2,85.7,86.1,88,90,89.5,89.2,87.8,88.5,89.4,90.1,91,89.7,90.3,90.4,90.4,90.4,90.4,90.4,90.5,91,91.1,91.3,91.3
Belarus,95.4,95.3,95.3,95.3,95.3,95.3,95.4,95.4,95.3,95.4,95,94.6,94.1,93.6,93,92.3,91.4,90.5,89.4,88.2,88.2,88.2,88.3,88.3,88.3,88.3,88.3,87.7
Belgium,73.5,74.1,74.5,74.6,75.6,75.9,76,75.9,76.1,76.6,76.7,78.1,78.4,79.2,79.8,80.3,80.7,81,81.2,82.4,82.7,80.9,81.6,81.8,82.7,84.4,84.5,84.6
