geo,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,-3.36,6.95,2.2,10.6,1.04,18,5.43,2.88,10.8,0.513,-0.527,-1.63,-0.349
Albania,,,,,,,,,,,,,,,,,,,,,3.65,0.796,-1.02,-3.31,-0.291,3.61,-2.75,-3.26,6.92,-11.2,-29.2,-6.64,10.3,8.97,14,9.78,-10.3,9.7,14.2,7.35,8.96,4.54,6.17,6.15,6.26,6.1,6.7,4.56,4.05,4.23,2.83,1.59,1.19,1.99,2.52,3.54
Algeria,-15.7,-21.6,31,3.16,3.42,-7.4,6.39,7.65,5.37,5.83,-13.8,24,1.01,4.57,2.14,5.35,2.28,6.08,4.34,-2.22,-0.129,3.13,2.16,2.39,0.612,-2.52,-3.51,-3.71,1.65,-1.75,-3.59,-0.547,-4.23,-2.91,1.85,2.31,-0.508,3.54,1.76,2.43,1.68,4.28,5.85,2.94,4.45,0.211,1.8,0.714,-0.102,1.76,0.93,1.32,0.696,1.73,1.79,1.43
Andorra,,,,,,,,,,,-0.604,2.79,2.67,1.01,-3.34,-0.181,-0.281,-1.44,-3.06,-1.33,-3.95,-2.93,-2.6,-2.6,-2.02,-1,1.33,0.97,0.802,-0.143,-1.37,-2.87,-4.41,-0.404,0.87,3.82,9.12,3.49,3.73,1.91,1.52,2.35,7.37,3.32,3.83,1.79,-2.01,-9.87,-4.38,-5.34,-3.85,-0.0397,2.39,4.3,2.4,2.19
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,-0.137,5.04,2.89,-2.26,-3.12,-4.21,-9.88,-27.1,0.228,7.09,8.07,4.99,3.94,0.356,-0.0653,0.893,-10.1,1.6,6.99,14.1,16.5,18.3,9.83,-1.18,-0.219,0.274,1.48,3.11,1.21,-0.464,-3.95
Antigua and Barbuda,,,,,,,,,,,,,,,,,,3.74,7.78,8.29,4.35,0.768,6.55,11.6,9.1,13.1,8.14,6.45,5.93,2.91,1.25,-0.497,3.01,4.03,-6.83,3.77,2.61,1.96,1.2,4.45,-6.6,-0.392,4.81,4.58,5.22,11.4,7.97,-1.22,-13.1,-8.26,-3.16,2.38,-1.17,3.98,2.97,4.26
Argentina,3.75,-2.41,-6.77,8.46,8.93,-2.09,1.74,3.34,8.08,1.47,3.95,-0.0796,1.06,3.76,-1.65,-3.54,5.34,-5.9,8.6,2.59,-7.13,-6.43,2.25,0.619,-9.01,6.24,1.37,-3.99,-8.84,-3.79,11.1,10.4,4.49,4.47,-4.06,4.26,6.86,2.68,-4.46,-1.89,-5.47,-11.9,7.64,7.85,7.69,6.92,7.89,3,-6.88,8.99,4.9,-2.06,1.34,-3.51,1.62,-3.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.9,-40.7,-6.64,7.95,9.1,7.51,4.48,8.14,3.96,6.57,10.2,13.8,14.6,11.1,14.6,14.1,14.7,7.81,-13.6,2.6,4.76,6.96,2.89,3.15,2.82,-0.0695
Australia,0.456,-1.12,4.2,4.9,3.92,0.0539,4.96,3.25,4.83,5.08,0.546,2.02,1.04,1.49,0.0929,1.57,2.45,-0.268,2.94,1.8,1.73,1.61,-3.45,3.45,3.82,2.41,1.03,4.06,2.14,2.01,-1.64,-0.775,3.05,2.96,2.64,2.59,2.79,3.36,3.81,2.64,0.565,2.59,1.8,2.95,1.85,1.47,3.1,1.64,-0.265,0.431,0.96,1.8,0.782,1.05,0.933,1.24
Austria,4.96,2.02,3.47,5.42,2.81,4.9,2.24,3.93,5.91,6.09,4.65,5.59,4.31,3.77,-0.099,4.76,5.04,-0.13,5.54,1.73,-0.399,1.94,3.14,0.0576,2.45,2.24,1.29,3.15,3.42,3.55,2.41,0.976,-0.299,2.01,2.51,2.26,2.09,3.45,3.39,3.12,0.963,1.16,0.267,2.07,1.45,2.84,3.29,1.23,-4.05,1.68,2.58,0.222,-0.557,0.0945,0.0193,0.309
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,-23.8,-24.3,-20.8,-12.8,0.282,4.78,8.96,6.46,10.2,9.05,9.78,10.4,9.24,25.1,33,23.6,8.47,7.16,3.61,-1.23,0.851,4.44,0.735,-0.0972,-4.18
Bahamas,5.3,5,5.1,5.24,5.41,4.37,5.11,4.31,5.25,-8.49,-1.01,-5.65,5.4,-18.4,-16.5,2.99,6.82,11.7,23.4,4.16,-11.2,4.34,1.34,11.8,2.74,-0.0948,1.18,0.58,4.92,-3.32,-5.94,-5.64,-1.55,1.38,2.79,2.89,0.931,3.6,5.86,2.64,0.85,0.704,-3.33,-1.24,1.28,0.508,-0.479,-4.1,-5.85,-0.135,-0.962,1.56,-1.94,-2.52,-4.24,-0.959
Bahrain,,,,,,,,,,,,,,,,,,,,,-8.92,-10.4,3.56,2.23,-7.53,-2.1,6.59,3.27,-2.95,1.31,8.21,3.97,10.1,-2.68,1.33,1.42,0.275,1.58,0.557,0.853,-2.35,-1.69,0.0927,0.389,-0.354,-1.22,0.193,-1.26,-3.56,-0.36,-1,1.98,4.2,2.71,0.203,
Bangladesh,3.08,2.48,-3.3,7.68,-1.5,-0.704,-5.08,6.01,-1.71,2.97,-7.44,-15.5,1.68,7.72,-6,3.21,0.0328,4.14,1.89,-1.95,4.35,-0.58,1.14,2.04,0.606,1.41,1.03,-0.253,0.232,3.05,1.07,3.08,2.43,1.67,2.89,2.31,2.31,3.02,2.58,3.25,3.1,1.94,2.92,3.54,4.96,5.25,5.77,4.83,3.89,4.4,5.25,5.28,4.77,4.84,5.37,5.96
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.23,-6.03,0.453,1.64,1.66,3.58,4.35,3.35,-0.0367,4.1,-2.67,0.497,1.88,1.1,3.62,5.27,1.35,-0.0272,-4.44,-0.129,0.0861,-0.0693,-0.318,-0.291,0.609,1.76
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.25,-9.79,-7.81,-11.6,-10.1,3.14,11.9,8.92,3.84,6.3,5.26,5.72,7.79,12.2,10.1,10.7,9.1,10.6,0.424,7.98,5.74,1.82,1.01,1.63,-3.98,-2.77
Belgium,4.63,4.79,3.57,5.95,2.62,2.46,3.29,3.79,6.33,5.49,3.8,4.88,6.05,4.24,-2.25,5.46,0.502,2.75,2.25,4.33,-0.277,0.622,0.32,2.47,1.62,1.79,2.22,4.39,3.09,2.83,1.46,1.12,-1.35,2.91,2.17,1.4,3.46,1.76,3.33,3.38,0.465,1.33,0.354,3.19,1.53,1.83,2.69,-0.00985,-3.04,1.81,0.396,-0.49,-0.288,1.11,0.819,0.891
