geo,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Argentina,,,,,,,,,,,38.7,,,,,,,38.8,,35,,,,,,,,
Australia,34.6,34.6,34.4,34.1,34.4,34.3,34.5,34.7,34.8,34.7,34.5,34.1,34.3,34.6,34.7,34.7,34.6,34.5,34.4,34.4,34.3,33.7,33.5,33.4,33.6,33.3,33.1,33.1
Austria,,,,,,,,,,,,,,,,31.7,32,32.1,32,31.5,31.4,31.4,31.4,31.6,31.7,31.8,31.8,31.8
Bangladesh,,,,,,,,,,,,,,,44.3,,,,,,,,,,,,,
Belgium,,,,34,34.5,34.6,34.2,33.9,33.6,33.5,33.7,33,32.6,31.6,31.6,32.2,31.6,31.9,32.1,30.4,29.9,30.3,30.4,30.3,29.8,30.1,30.2,30.1
Brazil,,,,,,,,,,,34.5,,,,,,,33.8,,32.5,,,,,,,,
Canada,34.9,34.6,34.2,34,34.1,34.3,34.2,34.4,34.5,34.4,34.2,33.8,33.8,33.7,33.9,33.9,34.1,34,34,34,34,33.9,33.5,33.4,33.7,33.4,33.4,33.4
Chile,,,,,,,,,,,38.1,,,,,,,36.6,,36.6,,,,,,,,
Colombia,,,,,,,,,,,,38,,,,37.7,,,,36.8,,,,,,,,
Costa Rica,,,,,,,,,,,35.8,,,,,,,35.9,,36,,,,,,,,
Czech Republic,,,,,,,,,,,,,,39.7,39.3,39.7,39.7,39.8,39.9,40.1,40.2,38.5,38.1,37.9,38.2,38.5,38.4,38.2
Denmark,31.9,31.4,31.6,31.5,31.4,31.1,31.2,30.5,30.2,29.9,29.6,29.5,29.9,29.9,29.8,29.6,29.4,29.7,30,30.2,30.4,30.5,30.4,30.3,30.4,30.1,30.3,
Ecuador,,,,,,,,,,,34.1,,,,,37.4,,,37,,,,,,,,,
El Salvador,,,,,,,,,,,37.3,,,,,,,35.4,35.6,,,,,,,,,
Fiji,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,
Finland,35.6,35.7,35.4,35,34.9,34.9,34.5,34.6,34.7,34.7,34,33.6,33.7,33.8,34.1,34.1,34.1,34,33.9,33.9,33.6,33.3,33.2,33.1,33.1,33,33,32.6
France,35.4,34.8,33.9,33.8,33.6,33.3,33.1,33,33,32.7,32.7,32.6,32.6,32.4,32.2,31.8,31.8,31.7,31.5,31.4,30.6,30.4,29.5,29.4,30,29.8,30.2,30
Germany,,,,,,,,,,,,29.8,30.1,29.8,29.8,29.5,29.2,29,28.9,28.7,28.3,28.1,27.8,27.7,27.7,27.6,27.6,27.6
Greece,,,,41.4,40.1,40.6,40.2,39.5,39.4,39.9,39.9,39.9,40.5,40.9,40.2,40,39.6,39,38.9,39.8,40,40.1,40.1,40.1,39.6,39.5,,
Honduras,,,,,,,,,,,35.7,,,,,,,34.7,,34.9,,,,,,,,
